"","ID","k_100","k_150","k_300","k_500","k_1000","k_1500","k_2000","k_m2000","Max_Age","Ecosystem","Specie","Status","Life.form","Bioregions","Habitat.type","SAR"
"39","Sg_192",NA,NA,0.0416745838821423,0.0322340772939088,NA,NA,NA,NA,NA,"Seagrass","Ruppia","","Colonising","Temperate Southern Oceans","estuarine",0.378421052631579
"40","Sg_241",NA,NA,NA,0.0050829274158278,NA,NA,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.25
"41","Sg_244",0.0468848485308117,0.0394747922203423,0.0305253402124544,NA,NA,NA,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.388970588235294
"42","Sg_247",NA,NA,0.0177408173345279,0.0161303627666445,NA,NA,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.216326530612245
"43","Sg_279",NA,NA,NA,NA,0.00203096243528807,NA,0.00103997608531143,0.000379695300696354,3884,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.294840909090909
"44","Sg_285",NA,0.0151196729360847,NA,NA,NA,NA,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.138764285714286
"45","Sg_291",NA,NA,NA,NA,0.000975864812941462,0.000808728505402976,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.233064516129032
"46","Sg_298",NA,0.0394604495377601,0.00684563459050314,0.001360942686024,0.000182981686130791,0.000346136566148217,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.138068702290076
"47","Sg_310",0.0342266073817847,0.0324605144480438,0.0276667750427268,0.0218140771621886,NA,NA,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.400331185323741
"48","Sg_311",0.0359606798161259,0.0289509882702831,0.0142677242011144,0.00871163284378812,0.00542054118558275,0.00390629901470814,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.318401694829932
"49","Sg_312",0.0243201107387412,0.0246182807597088,0.0217113614910923,0.0175023440497728,0.00998123485660907,NA,NA,0.00172925404949269,2146,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.309352517985612
"50","Sg_314",0.0260246436673269,0.0234089131515777,0.01787791455961,0.012491030494592,0.00751826351396619,NA,NA,0.00261288041105267,2128,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","coastal",0.22463768115942
"51","Sg_323",NA,0.00212629281782818,0.00819894244115576,0.00582918025169251,NA,NA,NA,NA,NA,"Seagrass","Thalassia testudinum","","Persistent","Tropical Atlantic","estuarine",0.116439024390244
"52","Sg_332",0.0663133375998283,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass","","","Opportunistic","Temperate North Atlantic","estuarine",0.163265306122449
"53","Sg_333",NA,NA,0.00567011516774865,NA,NA,NA,NA,NA,NA,"Seagrass","","","Opportunistic","Tropical Atlantic","inland lagoon",0.19047619047619
"54","Sg_334",0.0626865391961317,0.0486929007121172,0.0240878946977962,0.00892042319027732,NA,NA,NA,NA,NA,"Seagrass","","","Colonising","Tropical Atlantic","inland lagoon",0.116788321167883
"55","Sg_335",NA,0.0118491455985409,0.0125656084014264,NA,NA,NA,NA,NA,NA,"Seagrass","","","Persistent","Tropical Atlantic","inland lagoon",0.124031007751938
"56","Sg_505",0.0194876393397014,0.018325502298745,NA,NA,NA,NA,NA,NA,NA,"Seagrass","Zostera marina","","Opportunistic","Temperate North Atlantic","coastal",0.217432432432432
"57","Sg_588",NA,0.0167074286647265,0.00900051767910413,0.00551785171527075,NA,NA,NA,NA,NA,"Seagrass","Posidonia oceanica","","Persistent","Mediterranean","",0.15131914893617
"58","Sm_010",0.0176703272227075,0.0175845645262001,0.0162891947670858,0.0138835563782597,NA,NA,NA,NA,NA,"Tidal Marsh","","Natural","","","High",0.191489361702128
"59","Sm_022",NA,0.00308564054458926,0.00599466649922207,0.00482498614876368,0.00145462981263863,NA,NA,NA,NA,"Tidal Marsh","","reweted","","","Mid",0.114864864864865
"60","Sm_027",0.00868632092778792,NA,NA,NA,0.000374832702692745,NA,NA,NA,NA,"Tidal Marsh","","Natural","","","Low",0.171232876712329
"61","Sm_034",0.0171010432940972,0.0131649627485885,0.0083078371634244,0.00490761551007183,0.00255759613257544,NA,NA,NA,NA,"Tidal Marsh","","Natural","","","Mid",0.496644295302013
"62","Sm_038",NA,NA,0.0135634147295354,0.00836376425781875,NA,NA,NA,NA,NA,"Tidal Marsh","","Natural","","","High",0.0641647996066667
"63","Sm_049",NA,0.00212704179815881,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.157894736842105
"64","Sm_051",0.0204002312498178,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.224719101123595
"65","Sm_063",NA,0.018867818892684,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.153225806451613
"66","Sm_064",0.0241367553002901,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.163265306122449
"67","Sm_068",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.247826611422282
"68","Sm_074",0.00593465214290089,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.1356755342717
"69","Sm_081",0.00885586969224373,0.0131415966371211,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.183319347289264
"70","Sm_083",0.0147584362987864,0.0142532132144999,0.0171062932043974,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.265228375119735
"71","Sm_094",0.0147452899071011,0.00460302964457844,0.00365424592596861,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.0757188240390625
"72","Sm_1072",NA,0.0185320579064187,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","Grazed","","","",0.135699471333943
"73","Sm_1073",0.0220954761465385,0.0199570369366865,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","Grazed","","","",0.187923790652829
"74","Sm_1074",0.0476662241850653,0.0427730757558078,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","Grazed","","","",0.115435294558974
"75","Sm_1075",NA,0.029169009552786,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","Ungrazed","","","",0.179483647089369
"76","Sm_1077",0.0546935428657728,0.0401281947420256,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","Ungrazed","","","",0.139200629650777
"77","Sm_1083",0.00537467832856032,0.0099787443583334,0.0122423210355832,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","Grazed","","","",0.224712620338611
"79","Sm_441",0.00531057640701301,0.00886115640662517,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.187081415193105
"80","Sm_445",0.00754964675850187,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.210450754295611
"81","Sm_501",0.0327141983739995,0.0260893427135363,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.0810810810810811
"82","Sm_502",0.0167026036008308,0.0120324480651138,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.172727272727273
"83","Sm_504",0.017904195830778,0.0169984914589389,0.0137836943109772,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.078740157480315
"85","Sm_614",0.00487263209062217,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.36
"86","Sm_615",NA,0.000414257899468913,NA,NA,NA,NA,NA,NA,NA,"Tidal Marsh","","","","","",0.309999999946087
